group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
find,,,,,61569867.0,ns,2
find,,,,,61156901.0,ns,2
find,,,,,61137279.0,ns,2
find,,,,,61273674.0,ns,2
find,,,,,61894286.0,ns,2
find,,,,,61771735.0,ns,2
find,,,,,62044244.0,ns,2
find,,,,,61981202.0,ns,2
find,,,,,60963480.0,ns,2
find,,,,,61582693.0,ns,2
find,,,,,61566657.0,ns,2
find,,,,,60074405.0,ns,2
find,,,,,60448995.0,ns,2
find,,,,,61543066.0,ns,2
find,,,,,61801896.0,ns,2
find,,,,,61881413.0,ns,2
find,,,,,60610455.0,ns,2
find,,,,,61005683.0,ns,2
find,,,,,61515548.0,ns,2
find,,,,,61225909.0,ns,2
find,,,,,60899735.0,ns,2
find,,,,,60906229.0,ns,2
find,,,,,61728119.0,ns,2
find,,,,,61944592.0,ns,2
find,,,,,60265026.0,ns,2
find,,,,,61664621.0,ns,2
find,,,,,60905968.0,ns,2
find,,,,,61093693.0,ns,2
find,,,,,61685992.0,ns,2
find,,,,,60695782.0,ns,2
find,,,,,62893510.0,ns,2
find,,,,,60736740.0,ns,2
find,,,,,61847600.0,ns,2
find,,,,,60449616.0,ns,2
find,,,,,58874774.0,ns,2
find,,,,,60754463.0,ns,2
find,,,,,61673991.0,ns,2
find,,,,,61682826.0,ns,2
find,,,,,61559538.0,ns,2
find,,,,,61139038.0,ns,2
find,,,,,61394342.0,ns,2
find,,,,,61619298.0,ns,2
find,,,,,61496696.0,ns,2
find,,,,,61703225.0,ns,2
find,,,,,62169427.0,ns,2
find,,,,,61387689.0,ns,2
find,,,,,61660958.0,ns,2
find,,,,,60744670.0,ns,2
find,,,,,60412027.0,ns,2
find,,,,,61908621.0,ns,2
find,,,,,61395262.0,ns,2
find,,,,,60300778.0,ns,2
find,,,,,61174695.0,ns,2
find,,,,,61663413.0,ns,2
find,,,,,60448955.0,ns,2
find,,,,,60732014.0,ns,2
find,,,,,59924953.0,ns,2
find,,,,,63488938.0,ns,2
find,,,,,61441957.0,ns,2
find,,,,,61155697.0,ns,2
find,,,,,60724172.0,ns,2
find,,,,,61191132.0,ns,2
find,,,,,60861733.0,ns,2
find,,,,,61333034.0,ns,2
find,,,,,61221606.0,ns,2
find,,,,,61178136.0,ns,2
find,,,,,61221717.0,ns,2
find,,,,,61060456.0,ns,2
find,,,,,61254935.0,ns,2
find,,,,,60895421.0,ns,2
find,,,,,61331933.0,ns,2
find,,,,,60755647.0,ns,2
find,,,,,60836543.0,ns,2
find,,,,,60987835.0,ns,2
find,,,,,60733653.0,ns,2
find,,,,,61604368.0,ns,2
find,,,,,61336783.0,ns,2
find,,,,,61390757.0,ns,2
find,,,,,60118369.0,ns,2
find,,,,,60780060.0,ns,2
find,,,,,60883045.0,ns,2
find,,,,,61450537.0,ns,2
find,,,,,60933057.0,ns,2
find,,,,,61522659.0,ns,2
find,,,,,61752203.0,ns,2
find,,,,,61401263.0,ns,2
find,,,,,60948723.0,ns,2
find,,,,,61734479.0,ns,2
find,,,,,61708860.0,ns,2
find,,,,,60993130.0,ns,2
find,,,,,60950078.0,ns,2
find,,,,,61126512.0,ns,2
find,,,,,60456876.0,ns,2
find,,,,,60797358.0,ns,2
find,,,,,61197255.0,ns,2
find,,,,,61250823.0,ns,2
find,,,,,59949831.0,ns,2
find,,,,,60278958.0,ns,2
find,,,,,61127557.0,ns,2
find,,,,,61032550.0,ns,2
